site_id,litter_type,litter_name,amount_kg,is_sentinel,snapshot
nb_a86f5d76-28b4-409b-9394-296c08b03ed6,Litter003,工程泥浆,35800000.0,False,2026-09-02
nb_9b083c2f-5d55-43a1-ac93-534bf99f0cb8,Litter003,工程泥浆,5658000.0,False,2026-09-02
nb_3ce89a6f-2a49-4f3e-8797-7b91bfda199f,Litter001,工程渣土,8755700.0,False,2026-09-02
nb_3ce89a6f-2a49-4f3e-8797-7b91bfda199f,Litter003,工程泥浆,1711000.0,False,2026-09-02
nb_3ce89a6f-2a49-4f3e-8797-7b91bfda199f,Litter005,拆除弃料,3270000.0,False,2026-09-02
nb_8dac1812-09ea-4929-87ac-102132344605,Litter001,工程渣土,64687577.6,False,2026-09-02
nb_55f4a2ed-4856-463f-a09e-fb3a6edebf78,Litter003,工程泥浆,2990000.0,False,2026-09-02
nb_f2333f31-8ae7-4b5b-96f9-5bf9d44c889d,Litter001,工程渣土,7785000.0,False,2026-09-02
nb_13902618-4a35-4bc9-be49-7a03d3092e2c,Litter001,工程渣土,23940000.0,False,2026-09-02
nb_91f1fbac-64c1-4dab-b988-e7e1c3567125,Litter001,工程渣土,42120000.0,False,2026-09-02
nb_91f1fbac-64c1-4dab-b988-e7e1c3567125,Litter005,拆除弃料,1980000.0,False,2026-09-02
nb_46ab78c8-407d-4045-8f7a-fc63108ad22d,Litter003,工程泥浆,5114200.0,False,2026-09-02
nb_a964df51-33b5-4d18-9e1d-d9179afe8e0c,Litter001,工程渣土,25020000.0,False,2026-09-02
nb_a964df51-33b5-4d18-9e1d-d9179afe8e0c,Litter003,工程泥浆,10790000.0,False,2026-09-02
nb_a964df51-33b5-4d18-9e1d-d9179afe8e0c,Litter005,拆除弃料,9720000.0,False,2026-09-02
nb_6d68d88f-380d-481c-8b9f-08fdfe11e6ba,Litter001,工程渣土,3600000.0,False,2026-09-02
nb_1838b3fa-8296-4946-be24-30b6f62150ad,Litter001,工程渣土,2069000.0,False,2026-09-02
nb_1838b3fa-8296-4946-be24-30b6f62150ad,Litter005,拆除弃料,663000.0,False,2026-09-02
nb_1550a946-b35d-430f-b6ad-8d6383e73aff,Litter001,工程渣土,23220000.0,False,2026-09-02
nb_9848275c-e1a9-48d4-b841-1d47e5d17552,Litter001,工程渣土,30960000.0,False,2026-09-02
nb_9848275c-e1a9-48d4-b841-1d47e5d17552,Litter005,拆除弃料,6480000.0,False,2026-09-02
nb_2f2a912e-2f40-4f80-9846-777915609214,Litter001,工程渣土,11465000.0,False,2026-09-02
nb_2f2a912e-2f40-4f80-9846-777915609214,Litter003,工程泥浆,6315972.0,False,2026-09-02
nb_2f2a912e-2f40-4f80-9846-777915609214,Litter005,拆除弃料,5200000.0,False,2026-09-02
nb_80c3710f-d733-4938-affe-1e6ac0a6e186,Litter001,工程渣土,2356200.0,False,2026-09-02
nb_80c3710f-d733-4938-affe-1e6ac0a6e186,Litter005,拆除弃料,347400.0,False,2026-09-02
nb_1a4f3ee4-fdc5-4368-9df2-9b9a5b263e12,Litter001,工程渣土,24300000.0,False,2026-09-02
